month_and_year,CO,NO,NO2,NOX,O3,PM2.5,SO2
01 2014,0.8545070422535209,27.393145161290324,36.016129032258064,63.42204301075269,23.440188172043012,28.88037634408602,4.338028169014085
01 2015,0.8072010869565218,19.26766304347826,28.605298913043477,47.858695652173914,25.13247282608696,23.501799370220457,3.369565217391304
01 2016,0.7600823045267495,25.973214285714274,31.50686813186819,57.47847985347987,23.789666209419266,25.186827956989266,3.8978052126200273
02 2014,0.7483771251932,18.4478390461997,35.99627421758569,54.429955290611026,28.626717557251908,27.360655737704917,3.1761978361669243
02 2015,0.7039909638554227,18.5105421686747,28.406626506024097,46.94051204819277,27.124748995983936,21.842261904761873,3.420933734939759
02 2016,0.6965136054421773,18.23910915320607,35.421683798335785,53.65540871267743,35.673029858051926,31.27203065134103,10.2856093979442
03 2014,0.7516949152542378,15.591397849462366,24.905913978494624,40.494623655913976,26.96164199192463,21.726478494623656,2.6596045197740112
03 2015,0.5807220708446866,12.4130336058129,21.533605812897363,33.921435059037236,27.269527702089007,17.764560931899652,1.7997275204359673
03 2016,0.571124828532236,11.049382716049383,24.080932784636488,35.1124828532236,33.962048468221354,18.754928315412176,2.673076923076923
04 2014,0.7187227866473148,15.047826086956523,29.02173913043478,44.071739130434786,37.139583333333334,22.739583333333332,2.2206095791001452
04 2015,0.6498595505617988,12.983146067415722,24.72799625468166,37.69920411985021,38.221207865168495,26.203472222222207,2.5842696629213484
04 2016,0.6474468085106386,14.22293144208038,26.653191489361724,40.86264775413711,39.58888888888889,26.432175925925932,2.848936170212766
05 2014,0.6738505747126439,14.805818673883627,30.80108254397835,45.55345060893099,34.58592692828146,23.16260162601626,3.4698275862068964
05 2015,0.5777929155313353,12.46843778383287,25.068574023614904,37.53542234332423,34.89146230699367,22.1353046594982,1.6784741144414168
05 2016,0.6290123456790129,10.221993598536821,29.50845907636032,39.72565157750343,48.28829446730681,28.140232974910397,2.3683127572016462
06 2014,0.8184397163120556,13.164095371669005,23.349228611500703,36.52244039270687,26.177824267782427,17.941340782122904,2.9134751773049645
06 2015,0.6520365168539324,10.985018726591761,24.775514981273414,35.76357677902624,29.75983146067412,22.58484005563282,3.068820224719101
06 2016,0.5057446808510639,8.247754137115844,23.540425531914867,31.78439716312054,37.15815602836878,17.224305555555574,2.550354609929078
07 2014,0.6593663911845729,13.201612903225806,25.354166666666668,38.578629032258064,25.967611336032387,17.532301480484524,2.4765840220385673
07 2015,0.6534979423868315,12.650706794345638,24.15503875968992,36.80620155038759,32.26861943687557,18.97939068100357,1.8257887517146776
07 2016,0.4991769547325101,8.393689986282572,21.497027892089612,29.909236396890748,33.42066758116141,15.632840501792108,2.683127572016461
08 2014,0.6550477489768072,12.802631578947368,22.23130193905817,35.011080332409975,29.704936594202913,16.399865591397834,2.4099590723055933
08 2015,0.5393646408839777,9.637860082304528,22.37219935985367,32.01417466849567,33.2633744855967,15.379032258064521,2.2979166666666666
08 2016,0.49547325102880674,10.122999542752629,22.371742112482863,32.49611339734796,31.64380429812525,14.897177419354856,2.4732510288065845
09 2014,0.6162219101123596,15.194522471910112,21.406601123595493,36.592228464419506,21.55875468164794,12.999767549976761,2.047752808988764
09 2015,0.6558865248226936,11.4099290780142,24.556737588652478,35.94420803782507,29.262647754137124,16.982638888888875,2.8404255319148937
09 2016,0.5048226950354614,10.425531914893616,22.075886524822682,32.488888888888894,26.959810874704523,15.675462962962964,2.6375886524822696
10 2014,0.6493885869565217,14.500681198910081,23.86898274296094,38.38487738419619,24.437952898550723,14.81174089068826,3.7255434782608696
10 2015,0.6564049586776866,17.29499540863177,24.442837465564754,41.58792470156105,25.672865013774135,16.805555555555557,2.84366391184573
10 2016,0.47578431372549085,12.265329644997697,22.401567542646386,34.65882895343475,27.150322283609576,14.289202508960566,2.8485477178423237
11 2014,0.7866197183098594,21.364319248826284,28.532629107981254,49.86901408450703,23.17605633802818,22.086926286509037,4.528169014084507
11 2015,0.7300709219858151,19.785106382978725,28.52742316784869,48.334515366430274,23.06855791962176,22.45162037037036,6.463120567375887
11 2016,0.5961937716262979,20.552320075757578,29.2750946969697,49.84138257575757,19.3075284090909,21.231712962962977,4.396198830409356
12 2014,0.7987771739130431,17.35733695652174,30.282608695652176,47.65013586956522,23.109827898550726,24.462314939434723,3.501358695652174
12 2015,0.8439944134078209,23.078875171467757,34.45038866026516,57.5180612711477,24.967306812985832,30.75537634408602,6.246546961325967
12 2016,0.6735253772290803,16.800779458963813,27.378496102705192,44.16964695093999,23.773269142595137,20.304883512544805,3.343448275862069
