month_and_year,CO,O3,PM10,PM2.5,PMCO,SO2
01 2016,0.4442446043165462,49.2410071942446,48.34532374100719,26.4568345323741,21.913669064748202,2.5733333333333333
02 2016,0.45277361319340426,51.762331838565025,62.41517857142857,29.81547619047619,32.580357142857146,6.342301943198804
03 2016,0.3049549549549565,46.84131736526946,27.79826086956522,15.217391304347826,12.57391304347826,1.6484848484848484
04 2016,0.34117647058823747,54.12827988338192,43.02878787878788,23.625757575757575,19.37727272727273,1.8396501457725947
05 2016,0.4229437229437257,62.50286532951289,40.65638766519824,26.356828193832598,14.28193832599119,2.1494252873563218
06 2016,0.3553623188405809,45.733333333333334,21.97125567322239,15.680786686838124,6.270801815431165,2.1965065502183405
07 2016,0.31283124128312506,40.44367176634214,20.640776699029125,13.384188626907074,7.251040221914009,1.5668523676880224
08 2016,0.28765603328710165,39.047222222222224,21.42837273991655,14.328233657858137,7.094575799721836,1.8105849582172702
09 2016,0.31973898858075145,33.256521739130434,23.24665676077266,15.194650817236255,8.046062407132244,1.6409883720930232
10 2016,0.2914163090128759,34.73699015471168,26.51527777777778,14.808333333333334,11.718055555555555,1.8860759493670887
11 2016,0.3002840909090903,32.534850640113795,31.192733017377567,21.851500789889414,9.36650868878357,2.6324786324786325
12 2016,0.28013888888888905,38.19712230215827,27.862258953168045,15.877410468319558,12.00413223140496,2.7910863509749304
